"kind","name","parent","detail"
"export","check_diagnostics","",""
"argument","fit","check_diagnostics",""
"export","check_strictness","",""
"argument","fit","check_strictness",""
"argument","require_converged","check_strictness",""
"argument","require_covariance","check_strictness",""
"argument","max_condition_number","check_strictness",""
"argument","max_correlation","check_strictness",""
"argument","reject_on_boundary","check_strictness",""
"argument","reject_init_stall","check_strictness",""
"export","ferx_allometry","",""
"argument","model","ferx_allometry",""
"argument","data","ferx_allometry",""
"argument","config","ferx_allometry",""
"argument","covariate","ferx_allometry",""
"argument","reference","ferx_allometry",""
"argument","parameters","ferx_allometry",""
"argument","exponents","ferx_allometry",""
"argument","estimate","ferx_allometry",""
"argument","lower","ferx_allometry",""
"argument","upper","ferx_allometry",""
"argument","fit","ferx_allometry",""
"argument","threads","ferx_allometry",""
"argument","retries","ferx_allometry",""
"argument","directory","ferx_allometry",""
"export","ferx_apply_selection","",""
"argument","data","ferx_apply_selection",""
"argument","ignore","ferx_apply_selection",""
"argument","accept","ferx_apply_selection",""
"argument","ignore_ids","ferx_apply_selection",""
"argument","excluded","ferx_apply_selection",""
"export","ferx_bic","",""
"argument","fit","ferx_bic",""
"argument","type","ferx_bic",""
"export","ferx_bootstrap","",""
"argument","model","ferx_bootstrap",""
"argument","data","ferx_bootstrap",""
"argument","samples","ferx_bootstrap",""
"argument","seed","ferx_bootstrap",""
"argument","threads","ferx_bootstrap",""
"argument","stratify_on","ferx_bootstrap",""
"argument","sample_size","ferx_bootstrap",""
"argument","update_inits","ferx_bootstrap",""
"argument","run_base_model","ferx_bootstrap",""
"argument","keep_covariance","ferx_bootstrap",""
"argument","dofv","ferx_bootstrap",""
"argument","skip_minimization_terminated","ferx_bootstrap",""
"argument","skip_estimate_near_boundary","ferx_bootstrap",""
"argument","skip_covariance_step_terminated","ferx_bootstrap",""
"argument","skip_with_covstep_warnings","ferx_bootstrap",""
"argument","ci","ferx_bootstrap",""
"argument","directory","ferx_bootstrap",""
"argument","resume","ferx_bootstrap",""
"argument","retry_failed","ferx_bootstrap",""
"argument","progress","ferx_bootstrap",""
"argument","verbose","ferx_bootstrap",""
"export","ferx_bootstrap_summarize","",""
"argument","directory","ferx_bootstrap_summarize",""
"argument","skip_minimization_terminated","ferx_bootstrap_summarize",""
"argument","skip_estimate_near_boundary","ferx_bootstrap_summarize",""
"argument","skip_covariance_step_terminated","ferx_bootstrap_summarize",""
"argument","skip_with_covstep_warnings","ferx_bootstrap_summarize",""
